LCLid,READING_DATE,00:00:00,00:30:00,01:00:00,01:30:00,02:00:00,02:30:00,03:00:00,03:30:00,04:00:00,04:30:00,05:00:00,05:30:00,06:00:00,06:30:00,07:00:00,07:30:00,08:00:00,08:30:00,09:00:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,16:00:00,16:30:00,17:00:00,17:30:00,18:00:00,18:30:00,19:00:00,19:30:00,20:00:00,20:30:00,21:00:00,21:30:00,22:00:00,22:30:00,23:00:00,23:30:00,ANNUAL_CONSUMPTION,Daily Consumption
MAC000005,2013-02-11,0.032,0.031,0.031,0.027,0.027,0.026,0.026,0.029,0.03,0.034,0.031,0.029,0.03,0.031,0.032,0.051,0.287,0.169,0.104,0.036,0.033,0.106,0.067,0.199,0.084,0.185,0.09,0.033,0.039,0.029,0.033,0.154,0.069,0.081,0.263,0.47,0.974,0.294,0.187,0.115,0.035,0.034,0.036,0.038,0.042,0.049,0.274,0.129,1.6524261953557688,5.234999999999999
MAC000005,2013-02-12,0.06,0.023,0.027,0.028,0.033,0.03,0.03,0.031,0.03,0.026,0.023,0.024,0.027,0.028,0.028,0.055,0.054,0.313,0.172,0.114,0.171,0.097,0.094,0.092,0.1,0.08,0.092,0.14,0.191,0.187,0.1,0.043,0.033,0.062,0.064,0.162,0.93,0.226,0.305,0.164,0.227,0.2,0.123,0.141,0.142,0.372,0.205,0.114,1.6524261953557688,6.013000000000001
MAC000005,2013-02-13,0.038,0.035,0.034,0.035,0.034,0.033,0.027,0.026,0.028,0.033,0.033,0.032,0.032,0.037,0.033,0.048,0.31,0.137,0.066,0.037,0.035,0.032,0.029,0.029,0.028,0.028,0.1,0.024,0.026,0.136,0.156,0.14,0.054,0.296,0.464,0.263,0.157,0.036,0.035,0.037,0.038,0.039,0.039,0.04,0.049,0.373,0.142,0.097,1.6524261953557688,4.01
MAC000005,2013-02-14,0.028,0.027,0.027,0.027,0.027,0.027,0.028,0.026,0.027,0.027,0.027,0.027,0.029,0.028,0.027,0.043,0.189,0.26,0.1,0.028,0.029,0.03,0.031,0.03,0.03,0.03,0.023,0.132,0.116,0.033,0.074,0.048,0.133,0.127,0.12,0.065,1.29,0.349,0.168,0.182,0.175,0.163,0.075,0.262,0.232,0.181,0.145,0.106,1.6524261953557688,5.408000000000001
MAC000005,2013-02-15,0.104,0.027,0.033,0.033,0.034,0.031,0.033,0.031,0.027,0.025,0.029,0.026,0.031,0.033,0.031,0.032,0.031,0.026,0.371,0.093,0.039,0.033,0.032,0.032,0.033,0.03,0.146,0.027,0.033,0.033,0.031,0.031,0.097,0.07,0.132,0.858,0.375,0.313,0.132,0.14,0.08,0.097,0.195,0.162,0.225,0.076,0.135,0.072,1.6524261953557688,4.739999999999999
MAC000005,2013-02-16,0.033,0.032,0.031,0.031,0.029,0.028,0.027,0.028,0.027,0.027,0.031,0.029,0.03,0.03,0.031,0.051,0.387,0.138,0.039,0.035,0.159,0.031,0.028,0.027,0.025,0.027,0.03,0.029,0.029,0.029,0.029,0.029,0.028,0.029,0.028,0.039,0.294,0.446,0.314,0.172,0.179,0.16,0.134,0.409,0.179,0.11,0.07,0.049,1.6524261953557688,4.2059999999999995
MAC000005,2013-02-17,0.03,0.024,0.026,0.026,0.029,0.03,0.031,0.028,0.029,0.028,0.028,0.03,0.028,0.029,0.035,0.05,0.408,0.15,0.072,0.097,0.032,0.027,0.124,0.033,0.123,0.038,0.516,0.495,0.274,0.032,0.029,0.059,0.065,0.147,0.068,0.068,0.141,0.365,0.213,0.15,0.161,0.151,0.143,0.313,0.082,0.106,0.134,0.053,1.6524261953557688,5.35
MAC000005,2013-02-18,0.029,0.029,0.03,0.03,0.03,0.029,0.028,0.03,0.029,0.028,0.029,0.029,0.027,0.03,0.053,0.105,0.33,0.083,0.032,0.032,0.031,0.139,0.029,0.099,0.098,0.031,0.029,0.034,0.131,0.108,0.028,0.029,0.028,0.056,0.063,0.716,0.348,0.34,0.166,0.144,0.109,0.213,0.223,0.345,0.172,0.187,0.116,0.039,1.6524261953557688,5.092999999999998
MAC000005,2013-02-19,0.031,0.03,0.03,0.03,0.03,0.03,0.029,0.03,0.029,0.029,0.029,0.028,0.029,0.029,0.029,0.029,0.029,0.269,0.151,0.075,0.031,0.156,0.333,0.36,0.076,0.077,0.115,0.028,0.029,0.028,0.027,0.027,0.146,0.583,0.13,0.078,0.03,0.029,0.028,0.029,0.028,0.027,0.231,0.203,0.121,0.123,0.133,0.058,1.6524261953557688,4.2589999999999995
MAC000005,2013-02-20,0.029,0.029,0.029,0.029,0.028,0.028,0.028,0.028,0.027,0.028,0.028,0.027,0.028,0.034,0.03,0.052,0.354,0.173,0.106,0.05,0.066,0.039,0.031,0.03,0.03,0.03,0.03,0.032,0.136,0.03,0.094,0.122,0.033,0.291,0.202,0.093,0.949,0.443,0.167,0.147,0.139,0.141,0.188,0.187,0.311,0.173,0.15,0.1,1.6524261953557688,5.549
MAC000005,2013-02-21,0.032,0.032,0.032,0.031,0.032,0.032,0.029,0.029,0.029,0.028,0.029,0.029,0.031,0.034,0.031,0.03,0.029,0.363,0.146,0.084,0.1,0.122,0.101,0.03,0.028,0.027,0.029,0.028,0.029,0.028,0.176,0.073,0.096,0.164,0.036,0.614,0.287,0.355,0.165,0.156,0.069,0.035,0.037,0.036,0.038,0.297,0.109,0.108,1.6524261953557688,4.484999999999999
MAC000005,2013-02-22,0.127,0.055,0.027,0.027,0.027,0.026,0.026,0.031,0.029,0.03,0.03,0.027,0.026,0.027,0.027,0.027,0.025,0.195,0.22,0.152,0.106,0.071,0.114,0.032,0.133,0.094,0.056,0.088,0.192,0.101,0.116,0.082,0.116,0.133,0.116,0.148,1.006,0.302,0.174,0.437,0.244,0.102,0.131,0.173,0.174,0.359,0.099,0.116,1.6524261953557688,6.176000000000002
MAC000005,2013-02-23,0.086,0.039,0.028,0.028,0.029,0.027,0.03,0.03,0.031,0.031,0.03,0.027,0.031,0.027,0.029,0.045,0.1,0.252,0.133,0.061,0.029,0.121,0.03,0.152,0.095,0.139,0.572,0.176,0.098,0.093,0.032,0.096,0.091,0.101,0.186,0.504,0.293,0.214,0.144,0.143,0.141,0.138,0.194,0.275,0.258,0.192,0.112,0.097,1.6524261953557688,5.810000000000001
MAC000005,2013-02-24,0.028,0.032,0.031,0.03,0.029,0.029,0.03,0.029,0.028,0.029,0.029,0.028,0.028,0.029,0.032,0.031,0.027,0.03,0.468,0.137,0.066,0.107,0.026,0.027,0.026,0.026,0.027,0.027,0.026,0.028,0.163,0.125,0.226,0.106,0.424,0.184,0.152,0.171,0.147,0.178,0.203,0.204,0.172,0.16,0.327,0.171,0.131,0.057,1.6524261953557688,4.821000000000001
MAC000005,2013-02-25,0.028,0.028,0.028,0.028,0.028,0.027,0.028,0.029,0.029,0.03,0.029,0.028,0.03,0.03,0.033,0.044,0.305,0.162,0.206,0.096,0.094,0.652,0.527,0.128,0.147,0.184,0.334,0.102,0.196,0.273,0.135,0.046,0.132,0.033,0.053,0.689,0.429,0.245,0.169,0.22,0.173,0.137,0.122,0.148,0.262,0.354,0.127,0.134,1.6524261953557688,7.491000000000001
MAC000005,2013-02-26,0.047,0.031,0.029,0.03,0.03,0.03,0.029,0.032,0.028,0.028,0.029,0.027,0.029,0.029,0.049,0.072,0.401,0.18,0.217,0.071,0.029,0.029,0.028,0.029,0.03,0.027,0.03,0.099,0.033,0.045,0.031,0.029,0.029,0.148,0.052,0.229,0.646,0.326,0.161,0.194,0.179,0.15,0.34,0.153,0.149,0.178,0.158,0.107,1.6524261953557688,5.055999999999999
MAC000005,2013-02-27,0.051,0.031,0.03,0.031,0.03,0.033,0.032,0.033,0.038,0.031,0.032,0.031,0.032,0.032,0.031,0.031,0.226,0.232,0.136,0.115,0.098,0.03,0.031,0.029,0.03,0.03,0.029,0.1,0.03,0.031,0.143,0.117,0.029,0.083,0.03,0.026,0.029,0.027,0.164,0.291,0.12,0.038,0.038,0.09,0.311,0.144,0.097,0.112,1.6524261953557688,3.5649999999999995
